timestamps,TP9,AF7,AF8,TP10,Right AUX
1568081284.802,32.715,31.738,35.156,26.855,59.082
1568081284.806,47.852,31.738,30.273,-5.859,46.875
1568081284.810,38.086,36.133,37.598,25.879,96.680
1568081284.814,6.348,32.227,35.156,53.223,58.594
1568081284.817,16.113,34.180,34.668,36.621,26.855
1568081284.821,44.434,41.504,46.875,-0.488,55.664
1568081284.825,25.391,32.715,36.133,-5.859,76.172
1568081284.829,-3.906,25.879,30.273,35.156,29.297
1568081284.833,-8.789,29.297,32.715,32.715,0.977
1568081284.837,12.207,36.621,43.457,-17.090,-17.090
1568081284.841,19.043,39.551,48.828,-33.203,12.695
1568081284.845,-4.883,47.852,45.898,3.418,64.941
1568081284.849,-39.062,34.668,49.805,4.883,65.918
1568081284.853,-35.156,26.367,42.480,-50.781,-15.137
1568081284.857,-20.508,36.133,34.180,-79.590,-66.406
1568081284.860,-42.480,43.457,49.316,-48.340,-56.641
1568081284.864,-73.730,50.293,52.246,-29.785,-25.879
1568081284.868,-93.262,38.574,34.180,-86.914,19.043
1568081284.872,-95.703,33.691,35.156,-141.602,20.020
1568081284.876,-109.375,41.504,41.504,-124.512,-9.766
1568081284.880,-144.043,37.109,36.621,-94.238,22.461
1568081284.884,-148.438,41.016,38.574,-113.770,68.359
1568081284.888,-132.324,44.922,43.457,-164.062,48.828
1568081284.892,-140.137,39.062,42.480,-167.969,18.555
1568081284.896,-164.551,39.551,51.270,-130.859,-33.203
1568081284.899,-172.363,44.434,57.617,-133.789,21.484
1568081284.903,-148.926,40.527,58.105,-182.129,70.312
1568081284.907,-144.531,31.738,53.223,-203.613,11.719
1568081284.911,-173.340,23.926,48.828,-169.922,44.434
1568081284.915,-170.898,26.367,57.129,-127.930,64.941
1568081284.919,-137.207,35.156,57.617,-150.879,29.297
1568081284.923,-121.582,32.715,50.293,-180.664,41.504
1568081284.927,-138.184,24.414,55.176,-144.531,94.238
1568081284.931,-144.531,28.809,58.105,-100.586,75.195
1568081284.935,-120.117,30.762,55.664,-118.164,67.383
1568081284.939,-98.633,26.367,55.664,-153.809,61.523
1568081284.942,-94.727,21.973,58.105,-121.582,48.828
1568081284.946,-100.586,15.625,56.641,-59.570,18.555
1568081284.950,-97.168,15.625,50.293,-58.594,-23.926
1568081284.954,-62.988,15.625,45.898,-96.191,28.809
1568081284.958,-36.621,10.254,44.434,-79.590,4.883
1568081284.962,-40.527,10.254,46.387,-11.230,-8.789
1568081284.966,-39.551,15.625,38.086,3.906,21.484
1568081284.970,-8.789,19.043,28.320,-38.574,34.180
1568081284.974,23.926,22.949,24.902,-43.457,-6.836
1568081284.978,17.578,30.273,20.020,4.883,-33.691
1568081284.982,-2.441,36.133,20.020,29.785,3.906
1568081284.985,20.508,33.203,25.391,0.977,45.410
1568081284.989,57.129,28.809,20.508,-13.672,32.227
1568081284.993,50.293,32.227,11.230,20.996,20.996
1568081284.997,30.273,28.809,9.766,64.941,55.176
1568081285.001,45.898,23.438,9.766,57.617,67.383
1568081285.005,81.543,32.227,7.812,28.809,30.273
1568081285.009,76.172,30.273,11.719,42.969,21.973
1568081285.013,47.852,21.484,13.184,89.844,76.660
1568081285.017,50.781,26.367,9.277,94.238,88.379
1568081285.021,71.289,27.344,11.719,42.969,49.316
1568081285.024,82.520,23.438,13.672,40.039,22.461
1568081285.028,72.754,25.391,8.301,95.215,5.859
1568081285.032,66.406,25.391,7.324,115.723,-6.348
1568081285.036,89.844,31.250,9.277,75.195,-17.090
1568081285.040,109.863,37.109,11.719,56.152,-9.766
1568081285.044,91.309,35.645,14.160,93.262,11.719
1568081285.048,69.824,36.621,10.742,120.117,29.785
1568081285.052,85.938,33.691,6.836,89.355,55.664
1568081285.056,114.258,35.156,10.742,60.547,74.219
1568081285.060,114.746,41.992,14.648,86.426,89.844
1568081285.064,86.914,41.016,14.648,120.117,62.500
1568081285.067,80.566,39.551,13.184,104.980,9.277
1568081285.071,110.352,37.598,11.719,67.383,44.434
1568081285.075,115.723,34.668,14.648,73.730,76.172
1568081285.079,90.332,38.574,18.066,114.258,40.039
1568081285.083,84.473,38.086,19.043,120.117,-6.348
1568081285.087,109.375,36.621,15.137,77.148,-26.855
1568081285.091,118.652,35.645,17.578,60.059,34.180
1568081285.095,94.238,34.668,27.832,104.492,27.832
1568081285.099,77.148,33.203,26.367,130.371,21.973
1568081285.103,94.727,30.273,18.066,92.285,64.941
1568081285.107,109.863,29.785,16.602,67.871,76.660
1568081285.110,96.191,31.250,16.602,103.516,19.531
1568081285.114,77.148,33.203,19.531,137.207,41.992
1568081285.118,86.426,35.645,26.367,110.352,43.945
1568081285.122,111.328,38.086,31.250,73.730,13.672
1568081285.126,108.398,41.016,37.598,97.656,41.016
1568081285.130,88.867,36.621,38.574,140.137,41.016
1568081285.134,91.309,28.320,31.250,123.535,90.332
1568081285.138,110.840,26.367,27.832,69.824,64.941
1568081285.142,98.633,25.879,29.297,62.500,30.762
1568081285.146,66.406,27.832,27.832,105.469,-1.465
1568081285.149,66.895,28.809,25.879,116.699,-7.324
1568081285.153,90.820,26.367,22.461,62.988,35.156
1568081285.157,99.121,26.367,26.367,44.922,44.434
1568081285.161,80.078,33.691,34.668,93.262,21.484
1568081285.165,62.988,36.133,37.109,116.699,28.809
1568081285.169,78.125,32.227,34.180,77.148,55.664
1568081285.173,97.168,29.785,32.227,45.898,3.906
1568081285.177,83.008,31.738,32.227,73.730,21.484
1568081285.181,59.082,34.180,35.645,106.934,60.547
1568081285.185,66.895,33.691,40.039,89.355,0.000
1568081285.189,89.844,35.645,40.527,53.711,-20.996
1568081285.192,82.520,35.156,38.086,66.895,20.020
1568081285.196,57.129,28.809,38.086,108.398,68.848
1568081285.200,53.223,27.344,41.016,103.516,73.730
1568081285.204,75.195,30.273,36.621,55.176,31.738
1568081285.208,81.543,29.785,32.227,49.805,-13.672
1568081285.212,54.199,28.320,33.691,95.215,-0.977
1568081285.216,42.480,31.738,34.668,112.305,45.410
1568081285.220,65.430,31.250,34.668,63.965,3.906
1568081285.224,77.148,27.832,35.645,33.691,9.766
1568081285.228,58.594,27.832,33.203,72.754,43.457
1568081285.232,45.898,26.367,26.855,104.492,73.730
1568081285.235,62.012,27.832,25.879,70.312,20.020
1568081285.239,82.520,30.273,32.227,35.156,-29.785
1568081285.243,69.336,28.809,37.109,60.059,9.766
1568081285.247,46.387,31.738,39.062,97.168,19.531
1568081285.251,50.781,30.762,38.086,75.684,41.504
1568081285.255,65.430,31.738,36.133,26.367,40.039
1568081285.259,63.965,36.133,37.109,34.180,59.082
1568081285.263,41.992,34.180,41.992,77.637,60.059
1568081285.267,38.574,34.668,41.504,80.078,38.086
1568081285.271,63.477,36.133,36.133,32.715,53.711
1568081285.274,71.289,31.250,29.785,18.555,78.613
1568081285.278,48.828,29.785,27.344,62.012,102.539
1568081285.282,33.691,32.227,31.250,83.496,79.590
1568081285.286,51.270,35.645,28.809,37.598,5.859
